,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
178,COLEC12,SLC25A13,S100A10,PLP1,PLCE1,FENDRR,WWTR1,QDPR,SLC39A11,ANKRD44,MAP3K8,HAPLN2,MARCHF3,USP6NL,RBPMS,KIF26B,SEMA6A-AS1,WDR49,SULF2,LINC02328,IFITM5,MROCKI,ANGPT1,LINC03048
179,BMP7,UCP2,KMO,TNS1,POSTN,CFTR,TMEM163,SV2C,TSHZ2,TLL1,LDB3,CCDC26,KIF6,MID1,DISC1FP1,LINC00548,DPP10,CLCA4,PLEKHG3,RBPMS,CT45A10,CMTM7,SUCLG2-DT,FAM107B
180,PHLDB1,LY86,CHRM5,IFI16,WWTR1,CRIP1,PDZRN4,PDE8A,SPI1,DISP1,SUCLG2,TNFRSF10B,DTHD1,THEMIS,SLC26A5-AS1,VEGFA,LOC105377188,S100A8,C8orf34,SLC52A3,CETN1,HSPB1,ZNF804A,GCNT2
181,HLA-E,SOCS6,SFMBT2,SH3TC2,LPCAT2,COL4A5,STK33,TNFSF8,ADAM28,LRRC1,IFNG-AS1,MIR4300HG,LDLRAD3,LINC00511,PTCHD4,TMEM144,PAMR1,CCL3L1,PDE1C,PTN,TRBV28,ATP1B2,TMEM144,LINC02328
182,FREM2,CNTN5,ARHGAP22,CHODL,LINC02232,IPCEF1,ELF1,FERMT1,PARP4,ATP1B2,AQP4,LAMA2,DISC1,ATP10B,RASGRP3,CLMN,RASGEF1C,RAB31,LYPD6,ACSL1,PRR23D2,LINC01416,EPSTI1,DLC1
183,LOC101926964,CPED1,EMCN,NINJ2,UCP2,CDH23,HS3ST2,PNOC,CNKSR3,SAMD3,LINC00298,HHATL,MAN2A1,MCTP2,MIR646HG,DISP1,LINC01505,CPQ,DISP1,GZMA,IGLC1,DHRS3,TNFRSF1B,PLP1
184,PAX6-AS1,SIGLEC9,THSD4,FTL,RASGEF1C,PDE1C,NEDD9,SELE,LOC105378311,HIF1A-AS3,HSPA1B,OLR1,PHLDB1,ERBB4,CMTM8,CHST11,PLAAT3,PCSK6,CHRM5,DLEU1,IGLV1-40,LTC4S,TRABD2B,GPR149
185,C8orf34,XRCC4,LINC00299,ZFHX3,PRUNE2,PDK4,LINC01630,LOC105373335,STK33,ALDH1A1,B4GALT1,FGF1,TMEM163,PRR18,SLC2A1,CCK,PAICS,GCNT2,FAM149A,DPP10-AS3,IGKJ2,SLC6A20,CD36,HIP1
186,ANOS1,MAP3K8,CARTPT,SLC35D2,RIN2,CYP1B1,LOC101927026,LINC01931,CCK,WWTR1,LINC02232,LOC613266,BHLHE41,RGS12,EYS,PACRG-AS3,MGST1,LINC02240,LMCD1-AS1,MT3,MRGPRG-AS1,LINC01687,CEMIP,LURAP1L-AS1
187,MLC1,LINC02328,LDB3,PRR18,CA8,LOC101928516,CERCAM,LINC02899,ANGPT1,MT3,TFRC,BBOX1,LRMDA,MAP3K8,MYO5B,LOC105378311,SEMA6A,GNB4,PTCHD4,SIGLEC1,HOXA2,CD53,C10orf90,TAGLN
