,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
138,ABTB3,SOCS3,PCA3,SLC1A3,TNS1,HOXB3,BHLHE41,PALD1,SLC25A13,MEGF11,PTCHD4,CDKN1C,CHRM5,NPAS3,TTN,ITGA6,SLC2A3,HLA-DRB1,DDX60L,TLR6,GLDN,TACR1,JAML,WWTR1
139,MUSK,LOC105377862,SLC44A1,CFAP418-AS1,CFTR,BLNK,TBC1D16,HIF1A-AS3,SPON1,PLEKHH1,SPATA22,LINC01931,SRGAP2,THSD7B,ERBIN,LRIG1,CD9,PPP1R9A-AS1,PPP1R9A-AS1,FAM149A,NAMPT,PDE7B-AS1,MX2,SOX10
140,CEMIP,KCNK13,HDAC2-AS2,LINC01931,DOCK10,SOX18,PDGFB,UST,PLCH1,ADGRV1,SH3BP4,ABCC9,ELMO1-AS1,KCNQ1,HSPA1B,TP53TG5,MARCHF3,PTN,ABCC4,RIN3,HTR2C,FN1,PALM2AKAP2,PLCH1
141,MEIS1,MILR1,LAMP2,CHODL,HPSE2,CASP10,HIF1A,RFX4,PDE4B,ELOVL7,PHLPP1,OLR1,GPR183,PGM5,LOC101927026,MYO5B,LINC02328,LUZP2,SVIL,LOC105378311,THSD7A,PACRG-AS3,SH3BP4,EMC10
142,IPCEF1,SIGLEC11,MIR646HG,SEMA6A,NOTCH2,BMP2K,ST6GAL1,PCAT1,PLEKHH1,LOC613266,LINC02057,RIPOR3,PACRG-AS3,KCNIP1,DISC1FP1,FREM2,KIF26B,HSPA1B,LOC105373335,ADIRF,PGM5,LDB3,HDAC2-AS2,VCAN-AS1
143,CD55,CD300A,RGS12,SLC1A3-AS1,ZNRF3,LMO2,B4GALT1,NID1,NCKAP1L,LOC105378311,PMP22,GPR183,SLC25A13,LINC01931,NDNF,PSD2,SEMA6A-AS1,SEMA5A,HS3ST2,UCP2,HLA-A,LOC101927745,KAT2B,CD83
144,SVIL,ENO4,GRIK1,MTUS1,TREM2,AQP1,VEGFA,LINC00511,SPI1,TFRC,LINC02008,FGF1,HIPK2,CDK18,LRIG1,SVIL,MIR646HG,MGAM,LINC01482,LHFPL3-AS1,QDPR,LPAR6,FGD4,SLC9A9
145,ADAMTS9,FLVCR2,S100A10,CDKN2B-AS1,ENOX2,SHROOM4,TMEM144,ASPA,MYO1F,PIP4K2A,LPAR6,NAMPT,ALOX5,LINC01821,A2M,RGS20,GNG12-AS1,DISC1,TMEM144,AGMO,ADAMTS17,EYA2,ERBB3,ADAM12
146,LOC105370532,S100Z,ARHGEF26,PARP4,LPCAT2,COL4A4,THEMIS,MBNL3,SLC16A1,RASGRP3,CMTM8,BTG2,C8orf34,LOC124903183,RIN3,RASGRP3,SLC39A12,RYR3,ZNF385D-AS2,PIEZO2,CD83,SULF2,COLEC12,MAN2A1
147,CST3,RGS16,PLEKHA7,LINC02328,ADAMTS9-AS2,KIF26B,ANKRD37,LINC01374,NPAS3,RNASET2,XRCC4,ENO4,HLA-DQA1,LINC00298,VEGFA,NOS1,ATP1B2,MYO1F,PDE4B,IL18,SUCLG2,COBLL1,BEST1,PLEKHH1
148,NID1,H2AC19,CREB5,AASS,IL18,SLC35D2,TANC1,CRYBG3,ANGPT1,A2M,CPB2,ELOVL7,ADAM12,PLD1,IL18,PRUNE2,UTRN,ACSS1,ELMO1-AS1,LOC105377448,EMC10,TFEB,FBN2,SLC25A48
149,LOC102724289,SLCO2B1,CDH23,KIAA1755,MOG,FAT4,HLA-DRB1,CPB2,PDE7B-AS1,DISC1FP1,GPR183,ELMO1-AS1,NCKAP1L,FGD4,CT69,LOC101927026,CYSLTR2,ABCC4,LINC01876,CAPN3,PNOC,CMTM7,TMEM273,PACRG-AS3
150,RAD51B,FIRRE,FPR3,MYH11,LAIR1,CTSC,CD163L1,LINC02328,MERTK,TRAF3IP3,ELOVL7,LRP4-AS1,HDAC2-AS2,LOC107984203,CPB2-AS1,RNASET2,PARP14,LAMA2,USP6NL,ADAP2,MYT1,EPB42,CFAP418-AS1,PARD3
151,JUNB,CYSLTR1,NRXN1-DT,ADAP2,LPAR6,CARD8,SVEP1,GNB4,LYVE1,TLR6,SUCLG2,JUNB,NPL,MITF,ST6GAL1,KAT2B,ANGPT2,PSTPIP2,PRKCH,RNASE1,CYP1B1,ERMN,PKP2,PAICS
152,TMEM165,SAT1,SYNPR,ACACB,LDB3,COBLL1,BCAN,ST6GALNAC3,RUBCNL,SDK1,LOC101927026,PDGFB,TRAF3IP3,PLPP4,PHLDB1,LINC02930,DISC1,NR2F2-AS1,CDKN2B-AS1,HAPLN2,DLC1,MEIS1,GNG12-AS1,GAD2
153,ANGPTL4,P2RY14,MIR4300HG,TTN,PAMR1,CTXND1,ALOX5,SLC7A14-AS1,TRAF3IP3,CLMN,PROX1-AS1,SELE,PCSK5,DHRS9,CLDND1,SAMD4A,TRPC3,PNOC,PDE1C,SPATA13,TMEM132C,ADGRG6,LAMA1,CARD11
154,PAPLN,LINC02263,ZNF98,FGD4,LOC105373335,CHODL,PDGFRB,COL25A1,PTPRZ1,RIN2,PIP4K2A,WDR49,CIITA,QDPR,EYS,LPAR6,PLEKHH1,ANOS1,LHFPL3-AS1,NPL,FLT1,SLC6A20,TLR4,DCN
155,SEMA6A,CERNA2,NEDD9,ROR1,LINC02328,PDGFRB,RUBCNL,LTBP2,PDZRN4,WDR49,TMEM51,SLC25A13,CP,SLC25A13,AASS,ABCC4,AKAP13,FN1,DISC1FP1,LINC00924,ACSL1,ADAM12,CIITA,NR4A3
156,FCER1G,PLEK,CHRM5,RNF220,LINC01876,ADGRG6,CBR1,SLC25A13,NR4A3,HGF,LINC02232,LOC101927026,MBNL3,EGLN3,SEMA6A-AS1,IL18,LINC02882,CCL3L1,STK33,PARP4,LINC02328,SLC7A14-AS1,STK33,SAMD4A
157,SULF2,ABCC4,CD55,A2M,PECAM1,SMAD6,SCHLAP1,SPON1,KAT2B,CFAP418-AS1,RAB31,HIGD1B,DISC1,LINC01748,LRRC1,ELF1,C5orf64,HIGD1B,CMTM7,XRCC4,STK32B,SKAP1,KIF6,HLA-C
158,LINC02930,SIGLEC7,LOC107985126,LINC03002,SAMD4A,CD9,SELE,NFATC2,RIN3,LYVE1,LDB3,NEDD9,PHLPP1,RAD51B,COL4A1,SLC7A2,LOC105377188,CFTR,CTXND1,CALB2,RNF125,TGFBR1,C5orf64,PTN
159,CASP10,SPP1,EGLN3,SLAIN1,VRK2,DOCK10,PLEKHH1,ADGRV1,CP,XRCC4,SCHLAP1,SEMA5A,TACR1,SAMD4A,PHLPP1,TF,LOC102546299,TYMP,SOCS6,LINC00463,ARHGAP42,B3GNT5,DSEL-AS1,TRAF3IP3
160,TACR1,ATF3,PDLIM5,SEMA6A-AS1,CCDC200,FGR,IRAG1,DDR2,MBNL3,GSN,SVEP1,PLEKHA7,PIK3CG,GLDN,SLC6A13,HIF1A-AS3,STARD13-AS,CLDND1,LINC03048,FRMD4B,EPSTI1,LOC101927314,CEMIP,RIN3
161,UST,NXPH1,CIITA,SEMA3C,GEM,COL4A5,MARCKSL1,LINC02899,TMEM144,CALCRL,MATN1,ALK,ADAMTS17,PRR18,ATP1B2,LINC02263,ELOVL7,LOC101930421,SPI1,WAKMAR2,STARD13-AS,ABTB3,PLD1,LUZP2
162,LINC00320,IL17RA,LOC105370315,WAKMAR2,BMP2K,SAMD9L,ADIPOR2,CFAP47,COBLL1,SLC11A1,LINC01505,BLNK,SP110,SLC7A11,CFAP418-AS1,TGFBR1,SEMA5A,IFI44,PLEKHG3,LOC105370315,EYA4,LAMA3,CCN1,TAGLN
163,LOC101927745,LINC02649,TYMP,PSD2,STARD13-AS,TRGC1,DLC1,CACHD1,MIR3667HG,HLA-DRB1,CARD11,ZNRF3,ABCC4,OTULINL,SLC7A5,CD55,ADAMTS9-AS2,TLR6,TYMP,LRRC1,ABCB1,SEMA6A-AS1,DLEU1,SEMA5A
164,LOC102546299,SAMSN1,ITPR2,SLCO1B1,HIF1A-AS3,COL6A3,H2BC18,LINC01482,TNS1,LHCGR,TRPS1,SUCLG2-DT,ARHGAP25,NEDD9,TMEM51,ROR2,RGR,CA2,LINC01470,LINC02328,ANGPT2,FOLH1,IPCEF1,PHLDB1
165,PLD1,GRIK1,TAGLN,LRIG1,HHATL,VWF,ENO4,TOP2A,THEMIS,PCED1B,PDZRN4,LOC105373335,PAICS,CRYBG3,CYBRD1,NTN1,HTR2C,SLC16A1,LOC102546299,SLC52A3,TMEM51,SERPINB9,MTUS1,C8orf34
166,MYO1F,UCP2,LOC105377448,TMEM144,SASH3,CRYBG3,L3MBTL4,MAML2,ROBO2,F13A1,LINC01374,CEMIP,MYO5B,EMC10,LINC02172,H2BC18,RASSF8,SLC19A1,A2M,MIR325HG,CTSC,HSPA1B,LINC01411,PRKCH
167,PCDH15,PLD1,LINC01505,MYO15B,TGFB2,LINC01931,SLC35F4,LINC01748,LINC01748,SLC7A14-AS1,LOC107984203,ARHGAP15,SAMD4A,LINC02008,WDR49,ACSS1,ABCC4,S100A8,HIF1A,VAV3,ADAMTS9-AS2,LTC4S,ADAMTSL1,PCSK5
168,RMST,CSF2RA,KCNQ1,LINC01060,LINC02232,PCDH11Y,ETS1,ABCC4,LINC02694,RNF125,RYR3,EDN1,ACSL1,KMO,ADAM12,CARTPT,TMTC2,LINC01010,MGST1,CALCRL,DENND3,UTRN,LOC101929626,PSD2
169,THSD4,LOC105376244,LOC105373335,ADAMTS17,CYP27A1,KIAA1755,LOC101927026,S100A10,SGCZ,LINC01179,RNF152,HHATL,LOC107985126,MYT1,PCSK6,FN1,NR2F2-AS1,ST6GAL1,COL4A1,CTXND1,LOC101927026,IL18,PRUNE2,ELOVL7
170,EMX2OS,SFMBT2,VWF,CDH1,POSTN,ADIRF,LINC03048,MFAP4,NAMPT,CARD8,LINC01500,CYSLTR2,FREM2,LINC01500,FGF1,USP6NL,VAV3,HLA-A,ALDH1L1,TBC1D16,LOC105373335,IRAK3,PLP1,LINC00299
