,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
254,LRIG1,UGT8,AGA-DT,KCNIP1,HS3ST2,MYL9,LINC01411,SMIM35,CNP,C8orf34,THEMIS,GREM1,SOX10,S100B,PIP4K2A,PLLP,LOC100506474,NDNF,OPALIN,CTSC,SLC1A3-AS1,SLCO1C1,LINC00320,HBB
255,GPR34,LCP1,RASGEF1C,AASS,RGS20,CGNL1,PLEKHA7,VWA1,NPY,BBOX1,LINC02649,LOC101928516,NAMPT,LINC01299,SSPN,CNDP1,CMTM5,ERG,PPP1R14A,SRGAP2,TGFBR1,LOC101926964,IFI27,AASS
256,WNT5A,ADAM28,GASK1B-AS1,TAC3,TES,LINC00499,RCSD1,MIR3667HG,SERPINB9,ERG,HAPLN2,CPQ,MAP3K8,TMEM123,PTN,TAFA4,GPR17,FGL2,TMEM71,PLEKHG3,ANKRD44,FCER1G,TSHZ2,B2M
257,ABI3BP,RASGEF1C,TAC1,EYA4,CARNS1,PLPP2,RERG,LINC02381,MYO10,MIR646HG,RNF125,LINC01374,HLA-DMB,IFNG-AS1,LINC01090,LDB3,SLC1A3-AS1,LOC105374524,MSR1,CLDND1,RPS6KA1,CDH23,LOC105374524,MYO1F
258,MKRN3,S100Z,LRP4-AS1,SAT1,ADAM12,ADCY7,PARP14,GRAP2,TNFRSF11B,P2RY13,PLLP,PLD1,AKR1C2,CREB5,GNA14-AS1,SLC25A13,LINC01931,MOG,CTSZ,GNG12-AS1,GNA14-AS1,CACNG5,CR1,TLL1
259,GNB4,LINC02072,ITM2A,PRKCQ,DAPK2,TNS3,DISC1FP1,GYPC,LINC02057,THBS1,IRAG1,PDGFB,CDH23,RGS12,JUNB,LCP1,ZFP36L2,ADM,LINC01482,FPR3,BIN2,CD53,LINC01099,GPR34
260,COL9A2,CALCR,PRELID2,CNTN5,RIPOR3,OAF,SEMA3B,TRG-AS1,MGC4859,CTSC,PARP4,SGCZ,SLC14A1,SHISA6,LCP2,NUPR1,SST,PLEKHH1,HIGD1B,ADGRE2,SERPINB9,PCA3,LINC01324,IRAK3
261,TMEM51,HLA-DPB1,ARHGAP25,CDH1,LOC124909494,HBA1,SOCS6,CD163L1,HLA-DMB,GPR183,RNF152,GNG12-AS1,LINC02072,SP110,ANXA8,CDKN1C,CARTPT,SEMA3B,SLC44A1,RNF144B,WIF1,MTUS1,FREM2,SLC31A2
262,OPALIN,MID1,MCAM,ANGPT2,FOLH1,PYCARD,TRPM3,PDE4B,CD83,SEMA3B,CYP1B1,MIR646HG,TAGLN,VWA1,VIP,LINC02232,SYTL3,HNF1A,CD53,ERMN,LINC00924,FOXP2,ID3,RAB31
263,C21orf91,LOC101927745,ATP13A4,SDC4,ZNRF3,KANK1,IL17RA,SLC14A1,RNASE1,CRH,AGA-DT,SLC25A13,CYSLTR1,LINC03013,RNASE1,HIGD1B,TP53TG5,HLA-C,LINC01876,GNA14,PCSK5,AASS,VCAN,NID1
264,MYO5B,P2RY14,DLC1,ZHX2,GPR183,RNASE1,ENG,CDH23,SLC6A13,CD163L1,ZFHX3,MIR3681HG,ADGRE2,ARHGAP30,B4GALT1,USP6NL,DSEL-AS1,QDPR,CD4,BLNK,UTRN,LOC105377862,TFRC,CTSC
265,WDR49,PLLP,COBLL1,FBXL7,STARD13-AS,PLPPR1,ZNF98,EPB42,LINC01416,ERBB3,HMCN1,AGA-DT,PLLP,LINC01500,PALM2AKAP2,LOC101927745,SLC22A3,RAB20,OSMR,CP,LINC01630,LINC02328,CD44,BHLHE41
266,DCN,NINJ2,BIN2,CMTM8,MCAM,PLTP,LMO2,PALM2AKAP2,TMTC2,WIPF1,LINC01630,LINC01931,MOG,LOC107984203,SLCO2B1,H2BC4,RGR,LOC124903183,LINC02055,LOC283194,PLAC8,CA8,GCNT2,CYSLTR1
267,RNF144B,SLC1A3-AS1,GNA14-AS1,CRH,CCDC26,MYO16,ELMO1,C1QC,LINC03013,LINC03048,SLC7A11,GPR34,SLC25A13,PLEKHG3,CRYAB,TAC3,ELOVL7,STARD13-AS,TRPC6,USP6NL,ISM1,KCNH8,PSD2,HS3ST5
268,MOBP,LOC107984203,SLC2A5,LAMA4,PLLP,DSEL-AS1,OLR1,RGS5,RNF220,CDKN2B-AS1,MID1,PARP14,COL9A1,PWRN1,PRKCQ,SEPTIN4-AS1,RNF144B,CIITA,PPP1R3C,IFI44,RMST,EBI3,MCAM,LAMA4
269,OAF,MOBP,S100Z,CD53,ZFP36L2,TAL1,LINC02055,ARHGDIB,CYP1B1,LURAP1L-AS1,ADGRG6,MYO5B,LINC02057,TLR1,PARP9,NPY,DENND3,EMX2OS,LINC01374,BCAN,SH3BP4,ARHGDIB,LOC101927745,ZNF385D-AS2
270,CNTN2,OPALIN,NR4A3,CLDN11,PRIMA1,PCA3,PLD1,ARHGAP22,MATN1,MBNL3,SLC6A13,LOC107984203,ZNF366,GPX3,IQGAP2,CTSC,GIMAP1,LOC101927745,NR4A3,IFI30,TTYH2,SYK,DDX60L,PTGDS
271,LINC01036,SLC16A1,RUBCNL,LINC02263,PLCE1,SMAD6,CARNS1,INPP5D,IL17RA,KCNK13,CARTPT,SLC7A7,LINC01876,TRG-AS1,NAMPT,PLAC8,HAPLN2,HLA-DMB,XRCC4,CD22,PLEKHG3,ABCG2,PDGFB,PIP4K2A
272,LINC01500,MAG,SLAIN1,ADAP2,NPY,RFTN2,PRKCQ,OLR1,PLEKHH1,MOG,LOC102724768,BIN2,LOC107984203,UTRN,VEGFA,SLC24A3,SLC4A4,RYR3,KIF6,PAX6-AS1,SLC7A5,CCDC26,LINC01374,SP110
273,QDPR,HLA-B,TRG-AS1,SSPN,STEAP4,ENG,LINC01608,LINC00996,PRRX1,MYO5B,ENTPD1,ATP13A4,IER3,LINC01036,LINC01445,LRP4-AS1,SVIL,LAMA1,DENND3,LINC02008,RNASE1,PLP1,PTPRZ1,FERMT1
